═══ SOL迷因雷達 報告 v2.5 ═══
時間: 2026/7/25 10:14:40

【口袋名單】共 128 筆

-- 2026-07-25 批次 第0天 (10隻) --
Waddles | S88分 | 盾:verified | 首日 | 進0.0003443 | 現0.0003471 | 損益+0.8% | 峰值+0.8% | 上漲中
CUBEMAN | S85分 | 盾:verified | 蟬聯2天 | 進0.0008777 | 現0.0008721 | 損益-0.6% | 峰值+0.0% | 追蹤中
Benny | S83分 | 盾:verified | 首日 | 進0.0003829 | 現0.0003855 | 損益+0.7% | 峰值+0.7% | 上漲中
RAKO | S83分 | 盾:verified | 首日 | 進0.0006291 | 現0.0006227 | 損益-1.0% | 峰值+0.0% | 追蹤中
BIGFOOT | A76分 | 盾:verified | 首日 | 進0.0001724 | 現0.0001672 | 損益-3.0% | 峰值+0.0% | 追蹤中
MEMENOTE | A72分 | 盾:verified | 首日 | 進0.0007561 | 現0.0007561 | 損益+0.0% | 峰值+5.8% | 上漲中
LARP | A68分 | 盾:verified | 首日 | 進0.0003958 | 現0.0003958 | 損益+0.0% | 峰值+0.0% | 上漲中
TOESCOIN | A65分 | 盾:verified | 首日 | 進0.005830 | 現0.005830 | 損益+0.0% | 峰值+0.0% | 上漲中
dogi | S91分 | 盾:verified | 首日 | 進0.0001128 | 現0.0001129 | 損益+0.1% | 峰值+0.1% | 上漲中
Chud | B62分 | 盾:verified | 首日 | 進0.0004513 | 現0.0004513 | 損益+0.0% | 峰值+0.0% | 上漲中

-- 2026-07-24 批次 第1天 (10隻) --
Cricket | S82分 | 盾:verified | 首日 | 進0.0001960 | 現0.0001541 | 損益-21.4% | 峰值+1.4% | 追蹤中
CAGE | S80分 | 盾:verified | 首日 | 進0.001158 | 現0.0007574 | 損益-34.6% | 峰值+0.0% | 追蹤中
claude | A76分 | 盾:verified | 首日 | 進0.0001233 | 現0.00001846 | 損益-85.0% | 峰值+0.6% | 陣亡(70%)
Udin | A68分 | 盾:verified | 首日 | 進0.0005902 | 現0.0005338 | 損益-9.6% | 峰值+0.0% | 追蹤中
RDLN | S95分 | 盾:verified | 首日 | 進0.001271 | 現0.000006313 | 損益-99.5% | 峰值+0.0% | 陣亡(70%)
RACHUA | S90分 | 盾:verified | 首日 | 進0.007024 | 現0.000005097 | 損益-99.9% | 峰值+0.0% | 陣亡(70%)
SUITCAT | S86分 | 盾:verified | 首日 | 進0.00008629 | 現0.00008683 | 損益+0.6% | 峰值+0.6% | 查無報價疑歸零
HONEY | S80分 | 盾:verified | 首日 | 進0.00004282 | 現0.00001945 | 損益-54.6% | 峰值+0.0% | 追蹤中
longy | A76分 | 盾:verified | 首日 | 進0.00008127 | 現0.000001839 | 損益-97.7% | 峰值+0.0% | 陣亡(70%)
CCAT | A76分 | 盾:verified | 首日 | 進0.00005160 | 現0.00004167 | 損益-19.2% | 峰值+0.0% | 追蹤中

