═══ SOL迷因雷達 報告 v2.5 ═══
時間: 2026/7/26 09:15:49

【口袋名單】共 137 筆

-- 2026-07-26 批次 第0天 (9隻) --
LJimothy | S88分 | 盾:verified | 首日 | 進0.0004007 | 現0.0003892 | 損益-2.9% | 峰值+0.0% | 追蹤中
Cog | S82分 | 盾:verified | 首日 | 進0.0001827 | 現0.0001820 | 損益-0.4% | 峰值+0.0% | 追蹤中
Peigengoo | A75分 | 盾:verified | 首日 | 進0.0002184 | 現0.0002184 | 損益+0.0% | 峰值+0.0% | 上漲中
props | A68分 | 盾:verified | 首日 | 進0.0001432 | 現0.0001432 | 損益+0.0% | 峰值+0.0% | 上漲中
TRENCH | A67分 | 盾:verified | 首日 | 進0.0001260 | 現0.0001194 | 損益-5.2% | 峰值+0.0% | 追蹤中
Cupsey2028 | S95分 | 盾:verified | 首日 | 進0.001028 | 現0.001030 | 損益+0.2% | 峰值+0.2% | 上漲中
Tiana | S92分 | 盾:verified | 首日 | 進0.00008445 | 現0.00008494 | 損益+0.6% | 峰值+0.6% | 上漲中
Bee | A75分 | 盾:verified | 首日 | 進0.00005762 | 現0.00006185 | 損益+7.3% | 峰值+7.3% | 上漲中
RUSS | A74分 | 盾:verified | 首日 | 進0.00005671 | 現0.00005671 | 損益+0.0% | 峰值+0.0% | 上漲中

-- 2026-07-25 批次 第0天 (10隻) --
Waddles | S88分 | 盾:verified | 首日 | 進0.0003443 | 現0.0001207 | 損益-64.9% | 峰值+0.8% | 追蹤中
CUBEMAN | S85分 | 盾:verified | 蟬聯2天 | 進0.0008777 | 現0.000008263 | 損益-99.1% | 峰值+0.0% | 陣亡(70%)
Benny | S83分 | 盾:verified | 首日 | 進0.0003829 | 現0.000001838 | 損益-99.5% | 峰值+0.7% | 陣亡(70%)
RAKO | S83分 | 盾:verified | 首日 | 進0.0006291 | 現0.0003952 | 損益-37.2% | 峰值+0.0% | 追蹤中
BIGFOOT | A76分 | 盾:verified | 首日 | 進0.0001724 | 現0.000004876 | 損益-97.2% | 峰值+0.0% | 陣亡(70%)
MEMENOTE | A72分 | 盾:verified | 首日 | 進0.0007561 | 現0.00009222 | 損益-87.8% | 峰值+5.8% | 陣亡(70%)
LARP | A68分 | 盾:verified | 首日 | 進0.0003958 | 現0.00002587 | 損益-93.5% | 峰值+0.0% | 陣亡(70%)
TOESCOIN | A65分 | 盾:verified | 首日 | 進0.005830 | 現0.005326 | 損益-8.6% | 峰值+0.0% | 追蹤中
dogi | S91分 | 盾:verified | 首日 | 進0.0001128 | 現0.0001163 | 損益+3.1% | 峰值+3.1% | 上漲中
Chud | B62分 | 盾:verified | 首日 | 進0.0004513 | 現0.0004624 | 損益+2.5% | 峰值+2.5% | 上漲中

-- 2026-07-24 批次 第2天 (10隻) --
Cricket | S82分 | 盾:verified | 首日 | 進0.0001960 | 現0.00009980 | 損益-49.1% | 峰值+1.4% | 追蹤中
CAGE | S80分 | 盾:verified | 首日 | 進0.001158 | 現0.0007933 | 損益-31.5% | 峰值+0.0% | 追蹤中
claude | A76分 | 盾:verified | 首日 | 進0.0001233 | 現0.000008436 | 損益-93.2% | 峰值+0.6% | 陣亡(70%)
