═══ SOL迷因雷達 報告 v2.5 ═══
時間: 2026/7/29 07:58:29

【口袋名單】共 157 筆

-- 2026-07-29 批次 第0天 (10隻) --
HOBBES | S86分 | 盾:verified | 首日 | 進0.0001289 | 現0.0001282 | 損益-0.5% | 峰值+0.0% | 追蹤中
CATE | S84分 | 盾:verified | 首日 | 進0.003456 | 現0.003456 | 損益+0.0% | 峰值+0.0% | 上漲中
UNTIE | S84分 | 盾:verified | 首日 | 進0.002081 | 現0.001977 | 損益-5.0% | 峰值+0.0% | 追蹤中
drooling | A69分 | 盾:verified | 首日 | 進0.0002627 | 現0.0002661 | 損益+1.3% | 峰值+1.3% | 上漲中
PIPEDOG | S94分 | 盾:verified | 首日 | 進0.0001297 | 現0.0001098 | 損益-15.3% | 峰值+0.0% | 追蹤中
Ferret | S87分 | 盾:verified | 首日 | 進0.0004650 | 現0.0004932 | 損益+6.1% | 峰值+6.1% | 上漲中
DukyRich | S85分 | 盾:verified | 首日 | 進0.00007194 | 現0.00007070 | 損益-1.7% | 峰值+0.0% | 追蹤中
CHEDDAR | S84分 | 盾:verified | 首日 | 進0.00009148 | 現0.00009112 | 損益-0.4% | 峰值+0.0% | 追蹤中
spooderman | S81分 | 盾:verified | 首日 | 進0.0001151 | 現0.0001329 | 損益+15.5% | 峰值+15.5% | 上漲中
MIDTERMS | S80分 | 盾:verified | 首日 | 進0.0001101 | 現0.0001101 | 損益+0.0% | 峰值+36.7% | 上漲中

-- 2026-07-28 批次 第1天 (10隻) --
Smudge | S86分 | 盾:verified | 首日 | 進0.0002185 | 現0.0002202 | 損益+0.8% | 峰值+0.8% | 查無報價疑歸零
SAMECAT | S86分 | 盾:verified | 首日 | 進0.0006845 | 現0.001151 | 損益+68.2% | 峰值+68.2% | 上漲中
Papoi | S86分 | 盾:verified | 首日 | 進0.0001751 | 現0.00008622 | 損益-50.8% | 峰值+0.0% | 追蹤中
PUMPCOIN | S85分 | 盾:verified | 首日 | 進0.0003342 | 現0.0003166 | 損益-5.3% | 峰值+0.0% | 查無報價疑歸零
Jimothy | S79分 | 盾:verified | 首日 | 進0.007453 | 現0.007141 | 損益-4.2% | 峰值+0.5% | 追蹤中
RABBIT | A71分 | 盾:verified | 首日 | 進0.0001761 | 現0.0001220 | 損益-30.7% | 峰值+0.0% | 追蹤中
$HOWL | A66分 | 盾:verified | 首日 | 進0.0003271 | 現0.00004459 | 損益-86.4% | 峰值+0.0% | 陣亡(70%)
JACARE | A65分 | 盾:verified | 首日 | 進0.0004119 | 現0.00004769 | 損益-88.4% | 峰值+5.8% | 陣亡(70%)
Ryder | S92分 | 盾:verified | 首日 | 進0.0007499 | 現0.000002783 | 損益-99.6% | 峰值+2.3% | 陣亡(70%)
duky | S91分 | 盾:verified | 首日 | 進0.00009001 | 現0.0001203 | 損益+33.7% | 峰值+33.7% | 上漲中

-- 2026-07-26 批次 第2天 (9隻) --
LJimothy | S88分 | 盾:verified | 首日 | 進0.0004007 | 現0.000002009 | 損益-99.5% | 峰值+0.0% | 查無報價疑歸零
Cog | S82分 | 盾:verified | 首日 | 進0.0001827 | 現0.00002387 | 損益-86.9% | 峰值+0.0% | 查無報價疑歸零
Peigengoo | A75分 | 盾:verified | 首日 | 進0.0002184 | 現0.00005590 | 損益-74.4% | 峰值+8.8% | 陣亡(70%)
props | A68分 | 盾:verified | 首日 | 進0.0001432 | 現0.00002136 | 損益-85.1% | 峰值+0.0% | 查無報價疑歸零
TRENCH | A67分 | 盾:verified | 首日 | 進0.0001260 | 現0.00007744 | 損益-38.5% | 峰值+0.0% | 查無報價疑歸零
Cupsey2028 | S95分 | 盾:verified | 首日 | 進0.001028 | 現0.000008285 | 損益-99.2% | 峰值+0.2% | 查無報價疑歸零
Tiana | S92分 | 盾:verified | 首日 | 進0.00008445 | 現0.00007579 | 損益-10.3% | 峰值+70.2% | 追蹤中
Bee | A75分 | 盾:verified | 首日 | 進0.00005762 | 現0.000001864 | 損益-96.8% | 峰值+7.3% | 查無報價疑歸零
RUSS | A74分 | 盾:verified | 首日 | 進0.00005671 | 現0.00001939 | 損益-65.8% | 峰值+0.0% | 查無報價疑歸零

-- 2026-07-25 批次 第3天 (10隻) --
Waddles | S88分 | 盾:verified | 首日 | 進0.0003443 | 現0.000006373 | 損益-98.1% | 峰值+0.8% | 陣亡(70%)
CUBEMAN | S85分 | 盾:verified | 蟬聯2天 | 進0.0008777 | 現0.000005874 | 損益-99.3% | 峰值+0.0% | 陣亡(70%)
Benny | S83分 | 盾:verified | 首日 | 進0.0003829 | 現0.000001887 | 損益-99.5% | 峰值+18.1% | 陣亡(70%)
RAKO | S83分 | 盾:verified | 首日 | 進0.0006291 | 現0.0005874 | 損益-6.6% | 峰值+0.0% | 追蹤中
BIGFOOT | A76分 | 盾:verified | 首日 | 進0.0001724 | 現0.000002927 | 損益-98.3% | 峰值+0.0% | 陣亡(70%)
MEMENOTE | A72分 | 盾:verified | 首日 | 進0.0007561 | 現0.00004894 | 損益-93.5% | 峰值+5.8% | 陣亡(70%)
LARP | A68分 | 盾:verified | 首日 | 進0.0003958 | 現0.000001249 | 損益-99.7% | 峰值+0.0% | 陣亡(70%)
TOESCOIN | A65分 | 盾:verified | 首日 | 進0.005830 | 現0.006972 | 損益+19.6% | 峰值+19.6% | 上漲中
dogi | S91分 | 盾:verified | 首日 | 進0.0001128 | 現0.000004281 | 損益-96.2% | 峰值×3.16 | 查無報價疑歸零
