═══ SOL迷因雷達 報告 v2.5 ═══
時間: 2026/8/1 07:57:56

【口袋名單】共 186 筆

-- 2026-08-01 批次 第0天 (9隻) --
SOLNUT | S80分 | 盾:verified | 首日 | 進0.0006356 | 現0.0006247 | 損益-1.7% | 峰值+0.0% | 追蹤中
LOOP | A73分 | 盾:verified | 首日 | 進0.0001457 | 現0.00003847 | 損益-73.6% | 峰值+0.0% | 陣亡(70%)
CATWIF | A72分 | 盾:verified | 首日 | 進0.00009933 | 現0.00009958 | 損益+0.3% | 峰值+0.3% | 上漲中
Tilly | A66分 | 盾:verified | 首日 | 進0.0001590 | 現0.0001590 | 損益+0.0% | 峰值+0.0% | 上漲中
MySpace | S93分 | 盾:verified | 首日 | 進0.0001524 | 現0.0001591 | 損益+4.4% | 峰值+4.4% | 上漲中
OnlyPump | S90分 | 盾:verified | 首日 | 進0.0001528 | 現0.0001546 | 損益+1.2% | 峰值+1.2% | 上漲中
Cheshire | S89分 | 盾:verified | 首日 | 進0.00009684 | 現0.00009548 | 損益-1.4% | 峰值+0.0% | 追蹤中
RSCAT | S85分 | 盾:verified | 首日 | 進0.00008914 | 現0.00008851 | 損益-0.7% | 峰值+0.0% | 追蹤中
Burt | A71分 | 盾:verified | 首日 | 進0.00004138 | 現0.00004193 | 損益+1.3% | 峰值+1.3% | 上漲中

-- 2026-07-31 批次 第0天 (10隻) --
BRICK | S88分 | 盾:verified | 首日 | 進0.0006688 | 現0.0003321 | 損益-50.3% | 峰值+0.0% | 追蹤中
PIPECATE | S87分 | 盾:verified | 首日 | 進0.0004273 | 現0.0006863 | 損益+60.6% | 峰值+60.6% | 上漲中
Nascat | S85分 | 盾:verified | 首日 | 進0.0001286 | 現0.0002344 | 損益+82.3% | 峰值+82.3% | 上漲中
YETI | S82分 | 盾:verified | 首日 | 進0.0003049 | 現0.0003644 | 損益+19.5% | 峰值+19.5% | 上漲中
TANUKI | S82分 | 盾:verified | 首日 | 進0.0001825 | 現0.0001762 | 損益-3.5% | 峰值+12.9% | 查無報價疑歸零
SELLER | A68分 | 盾:verified | 首日 | 進0.0002881 | 現0.0002414 | 損益-16.2% | 峰值+0.0% | 追蹤中
MOONDOGECOIN | A67分 | 盾:verified | 首日 | 進0.01861 | 現0.00002786 | 損益-99.9% | 峰值+0.8% | 陣亡(70%)
pumpcat | S93分 | 盾:verified | 首日 | 進0.0003644 | 現0.0001832 | 損益-49.7% | 峰值+0.0% | 追蹤中
NOBIKO | S86分 | 盾:verified | 首日 | 進0.0001177 | 現0.0001120 | 損益-4.8% | 峰值+0.0% | 查無報價疑歸零
Dumbo | S83分 | 盾:verified | 首日 | 進0.0001055 | 現0.000006921 | 損益-93.4% | 峰值+0.0% | 陣亡(70%)

-- 2026-07-30 批次 第1天 (10隻) --
DrTrump | S88分 | 盾:verified | 首日 | 進0.0007250 | 現0.000003732 | 損益-99.5% | 峰值+0.0% | 查無報價疑歸零
OnlyMarms | A76分 | 盾:verified | 首日 | 進0.0001733 | 現0.0009096 | 損益×5.25 | 峰值×5.25 | 曾達5x達標
Mirumi | A69分 | 盾:verified | 首日 | 進0.0001312 | 現0.0001319 | 損益+0.5% | 峰值+6.6% | 上漲中
SMUGPUG | S94分 | 盾:verified | 首日 | 進0.0001077 | 現0.0001139 | 損益+5.8% | 峰值+19.8% | 上漲中
CHEEMS | S88分 | 盾:verified | 首日 | 進0.0001069 | 現0.00005724 | 損益-46.5% | 峰值+63.9% | 追蹤中
CATE | S83分 | 盾:verified | 首日 | 進0.0001836 | 現0.00003018 | 損益-83.6% | 峰值+0.0% | 陣亡(70%)
Solanus | S82分 | 盾:verified | 首日 | 進0.00008789 | 現0.00001527 | 損益-82.6% | 峰值+0.0% | 查無報價疑歸零
Agensis | S82分 | 盾:verified | 首日 | 進0.00004185 | 現0.00003016 | 損益-27.9% | 峰值+0.0% | 追蹤中
PIPEDOG | A76分 | 盾:verified | 首日 | 進0.00004012 | 現0.00004012 | 損益+0.0% | 峰值+0.0% | 查無報價疑歸零
panama | A75分 | 盾:verified | 首日 | 進0.00005320 | 現0.00004407 | 損益-17.2% | 峰值+0.0% | 查無報價疑歸零

-- 2026-07-29 批次 第3天 (10隻) --
HOBBES | S86分 | 盾:verified | 首日 | 進0.0001289 | 現0.0001282 | 損益-0.5% | 峰值+0.0% | 查無報價疑歸零
CATE | S84分 | 盾:verified | 首日 | 進0.003456 | 現0.006678 | 損益+93.2% | 峰值+93.2% | 上漲中
UNTIE | S84分 | 盾:verified | 首日 | 進0.002081 | 現0.001620 | 損益-22.2% | 峰值+0.0% | 追蹤中
drooling | A69分 | 盾:verified | 首日 | 進0.0002627 | 現0.0003616 | 損益+37.6% | 峰值×2.06 | 曾達2x
PIPEDOG | S94分 | 盾:verified | 首日 | 進0.0001297 | 現0.000002107 | 損益-98.4% | 峰值+0.0% | 查無報價疑歸零
