
═══ SOL迷因雷達 報告 v2.4.1 ═══
時間: 2026/7/16 11:24:27

【口袋名單】共 59 筆

-- 2026-07-16 批次 第0天 (8隻) --
BULLSOL | S91分 | 盾:verified | 首日 | 進0.0002218 | 現0.0002218 | 損益+0.0% | 峰值+0.0% | 上漲中
MAHUTA  | S86分 | 盾:verified | 首日 | 進0.0002712 | 現0.0002712 | 損益+0.0% | 峰值+0.0% | 上漲中
BARRON | S84分 | 盾:verified | 首日 | 進0.0003217 | 現0.0003214 | 損益-0.1% | 峰值+0.0% | 追蹤中
BULLDOG | S83分 | 盾:verified | 首日 | 進0.0001138 | 現0.0001138 | 損益+0.0% | 峰值+0.0% | 上漲中
RELIC | A71分 | 盾:verified | 首日 | 進0.0001692 | 現0.0001692 | 損益+0.0% | 峰值+0.0% | 上漲中
AGR | A68分 | 盾:verified | 首日 | 進0.0002065 | 現0.0002065 | 損益+0.0% | 峰值+0.0% | 上漲中
bul | S91分 | 盾:verified | 首日 | 進0.0001050 | 現0.0001056 | 損益+0.6% | 峰值+0.6% | 上漲中
RJ | S79分 | 盾:verified | 首日 | 進0.00006877 | 現0.00006698 | 損益-2.6% | 峰值+0.0% | 追蹤中

-- 2026-07-15 批次 第1天 (10隻) --
MIM | S88分 | 盾:verified | 首日 | 進0.0004134 | 現0.00008740 | 損益-78.9% | 峰值+0.0% | 陣亡(70%)
Cardtopia | S88分 | 盾:verified | 首日 | 進0.0003908 | 現0.000003808 | 損益-99.0% | 峰值+0.0% | 陣亡(70%)
CP | S84分 | 盾:verified | 首日 | 進0.0001418 | 現0.0001416 | 損益-0.1% | 峰值+0.0% | 查無報價疑歸零
BULLCAT | A73分 | 盾:verified | 首日 | 進0.0003698 | 現0.0007187 | 損益+94.3% | 峰值+94.3% | 上漲中
Udin | A64分 | 盾:verified | 首日 | 進0.0003487 | 現0.0005995 | 損益+71.9% | 峰值+71.9% | 上漲中
LCID | A75分 | 盾:verified | 首日 | 進0.00005505 | 現0.00005397 | 損益-2.0% | 峰值+0.0% | 查無報價疑歸零
Peigengoo | A73分 | 盾:verified | 首日 | 進0.00005972 | 現0.00005300 | 損益-11.3% | 峰值+0.0% | 追蹤中
$shart | A71分 | 盾:verified | 首日 | 進0.00002860 | 現0.00002860 | 損益+0.0% | 峰值+0.0% | 查無報價疑歸零
POINTLESS | A69分 | 盾:verified | 首日 | 進0.00006806 | 現0.00003173 | 損益-53.4% | 峰值+0.0% | 追蹤中
TOESCOIN | B63分 | 盾:verified | 首日 | 進0.005733 | 現0.007040 | 損益+22.8% | 峰值+22.8% | 上漲中

-- 2026-07-14 批次 第2天 (6隻) --
HOOD | S94分 | 盾:verified | 首日 | 進0.0001051 | 現0.0001041 | 損益-1.0% | 峰值+0.0% | 查無報價疑歸零
brain | S85分 | 盾:verified | 首日 | 進0.0005549 | 現0.0001505 | 損益-72.9% | 峰值+20.0% | 陣亡(70%)
Diarrhea | S84分 | 盾:verified | 首日 | 進0.0003178 | 現0.0002248 | 損益-29.3% | 峰值+8.5% | 追蹤中
CashDog | S82分 | 盾:verified | 首日 | 進0.0001129 | 現0.00003878 | 損益-65.7% | 峰值+1.6% | 追蹤中
PEPE | A72分 | 盾:verified | 首日 | 進0.00006284 | 現0.00003439 | 損益-45.3% | 峰值+0.0% | 查無報價疑歸零
ROAST | B63分 | 盾:verified | 首日 | 進0.00003567 | 現0.00003567 | 損益+0.0% | 峰值+0.0% | 查無報價疑歸零

-- 2026-07-13 批次 第3天 (8隻) --
SUNNYS | S92分 | 盾:verified | 首日 | 進0.001218 | 現0.000004605 | 損益-99.6% | 峰值+30.9% | 查無報價疑歸零
HYPNO | S92分 | 盾:verified | 首日 | 進0.0004455 | 現0.000002409 | 損益-99.5% | 峰值+4.8% | 查無報價疑歸零
gaycoin | S87分 | 盾:verified | 首日 | 進0.001788 | 現0.000003453 | 損益-99.8% | 峰值+29.3% | 查無報價疑歸零
Bison | S85分 | 盾:verified | 首日 | 進0.0003467 | 現0.0001011 | 損益-70.8% | 峰值+3.9% | 陣亡(70%)
RTM | A74分 | 盾:verified | 蟬聯2天 | 進0.0005153 | 現0.0003038 | 損益-41.0% | 峰值+2.1% | 追蹤中
memecoin | A64分 | 盾:verified | 首日 | 進0.002860 | 現0.002615 | 損益-8.6% | 峰值+13.5% | 追蹤中
PUMPCAT | S94分 | 盾:verified | 首日 | 進0.00009188 | 現0.00002366 | 損益-74.2% | 峰值+55.2% | 查無報價疑歸零
